generation,individual,val_loss,n_params,n_layers,architecture
11,6,0.546365,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
11,7,0.559122,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
12,0,0.520893,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
12,1,0.518578,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
12,2,0.535350,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
12,3,0.542811,1227909,9,[512/k3→64/k3→512/k3→32/k1→256/k3→512/k1→64/k3→32/k1→256/k1]
12,4,0.545609,597381,8,[512/k3→64/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
12,5,0.548959,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
12,6,0.554868,184101,8,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1]
12,7,0.563821,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
13,0,0.518207,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
13,1,0.520304,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
13,2,0.533279,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
13,3,0.541835,1227909,9,[512/k3→64/k3→512/k3→32/k1→256/k3→512/k1→64/k3→32/k1→256/k1]
13,4,0.541277,597381,8,[512/k3→64/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
13,5,0.546746,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
13,6,0.560199,184101,8,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1]
13,7,0.561498,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
14,0,0.513935,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
14,1,0.515858,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
14,2,0.532667,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
